"Graph 6: Types of unpaid work/support provided to non-household members in last four weeks"
,"Type of unpaid work/support provided to non-household members in last 4 weeks (%)"
"Domestic work, home maintenance or gardening","37"
"Providing transport or running errands","38"
"Any unpaid child care","19"
"Any teaching, coaching or practical advice","13"
"Providing any emotional support","54"
"Personal care/assistance","14"
"Lobbying/advocacy","2"
"Community assistance","4"
"Environmental Protection","1"
"Any other help","9"

"Source: Australian Bureau of Statistics, General Social Survey: Summary Results, Australia 2020"
